Timestamp;Source;Project;Model;Model Name;PromptType;Resolution;Resolution Name;RunID;Test Type;TestModule;ReadableName;Status;ExecutionTime(sec);Step count;ErrorType;FilePath
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;1;ui;test_login;Authorization process;ERROR;152.11;7;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\1\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;ui;test_register;Registration process;ERROR;0.84;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\1\test_register.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;ui;test_art;Product pages;ERROR;1.82;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\2\test_art.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;ui;test_accessories;Product pages;ERROR;2.68;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\2\test_accessories.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;ui;test_home;Home page;ERROR;1.87;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\2\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;ui;test_clothes;Product pages;ERROR;1.96;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\2\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;2;ui;test_login;Authorization process;ERROR;1.61;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\2\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;ui;test_accessories;Product pages;ERROR;1.71;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\3\test_accessories.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;ui;test_art;Product pages;ERROR;1.64;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\3\test_art.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;1;ui;test_login;Authorization process;ERROR;25.27;0;TypeError;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\1\test_login.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;ui;test_accessories;Product pages;ERROR;147.56;12;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\3\test_accessories.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);simple;NO;No screenshot;3;ui;test_clothes;Product pages;ERROR;147.79;6;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\simple\3\test_clothes.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;ui;test_home;Home page;ERROR;28.98;1;NoSuchElement;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\3\test_home.py
20250523_200028;tests;prestashop;llava7bllama3.1.8bHTML;LLaMA3.1:8b (only HTML);medium;NO;No screenshot;3;ui;test_register;Registration process;ERROR;25.28;1;Timeout;C:\diana\MasterCode\code\Projects\prestashop\Processes\tests\llava7bllama3.1.8bHTML\ui\medium\3\test_register.py
